dish,kcal,protein,carb,fat
炸洋蔥圈,103,2.6,10.3,5.7
章魚天婦羅,150,3.8,15.0,8.3
玉米炸什錦,194,4.9,19.4,10.8
現炸豆乳甜甜圈,375,9.4,37.5,20.8
草莓白冰淇淋蛋糕,224,2.8,33.6,8.7
蜜蕃薯DE鮮奶油,192,7.2,19.2,9.6
鳳梨切塊,47,0.6,11.2,0.0
熟透芒果的鮮奶油,110,1.4,26.1,0.0
緣 台灣鳳梨,41,0.5,9.7,0.0
京都風蕨餅,168,2.1,25.2,6.5
巨峰葡萄雪酪,58,0.7,13.8,0.0
碎杏仁冰淇淋蛋糕,226,2.8,33.9,8.8
香脆巧克力冰淇淋脆皮杯,229,2.9,34.4,8.9
櫻花綻放的春果凍,65,0.8,15.4,0.0
爽口的免烤起司慕斯,310,11.6,31.0,15.5
霜淇淋,137,6.9,22.3,2.3
份量十足莓果冰淇淋,218,2.7,32.7,8.5
起司蛋糕,84,1.1,12.6,3.3
巧克力蛋糕,107,1.3,16.1,4.2
巧克力莓果聖代,546,6.8,81.9,21.2
巧克力冰淇淋,148,1.9,22.2,5.8
入口即化的布丁蛋糕,153,1.9,22.9,5.9
絲滑豆乳冰淇淋 香草,105,1.3,15.8,4.1
濃厚巧克力甜點,157,2.0,23.6,6.1
蜂蜜卡斯特拉,116,5.8,18.9,1.9
花欄子,212,10.6,34.5,3.5
香草冰淇淋,154,1.9,23.1,6.0
春之梅,125,6.2,20.3,2.1
冷凍水果拼盤,68,3.4,11.1,1.1
北海道牛奶冰淇淋包芙,102,1.3,15.3,4.0
北海道牛奶布丁塔,174,2.2,26.1,6.8
芒果聖代,356,4.5,84.5,0.0
千層蛋糕,281,3.5,42.1,10.9
夢之綿綿雪花冰 草莓鮮奶油,149,5.6,14.9,7.4
夢之綿綿雪花冰 宇治金時,230,11.5,37.4,3.8
夢之綿綿雪花冰 宇治金時（無煉乳）,204,10.2,33.1,3.4
夢之綿綿雪花冰 宇治抹茶鮮奶油,231,2.9,54.9,0.0
夢之綿綿雪花冰 豐潤草莓,132,6.6,21.4,2.2
夢之綿綿雪花冰 豐潤草莓（無煉乳）,106,5.3,17.2,1.8
夢之綿綿雪花冰 芒果,154,1.9,36.6,0.0
夢之綿綿雪花冰 芒果（無煉乳）,128,1.6,30.4,0.0
夢之綿綿雪花冰 芒果鮮奶油,165,2.1,39.2,0.0
藕餅冰淇淋,134,1.7,20.1,5.2
草莓牛奶甜酒釀,178,8.9,28.9,3.0
宇治抹茶綠茶,3,0.0,0.7,0.0
馬路村柚子Chu-hi,92,4.6,15.0,1.5
醋飯可樂,131,1.6,31.1,0.0
Dry Zero α,27,1.4,4.4,0.4
Dry Premium(中瓶）,240,12.0,39.0,4.0
熱帶夕陽紅,217,10.9,35.3,3.6
熱帶日出藍,222,11.1,36.1,3.7
生啤,160,8.0,26.0,2.7
乳酸菌水,76,3.8,12.3,1.3
無酒精梅酒,69,3.5,11.2,1.1
High-Ball,69,3.5,11.2,1.1
瓶裝啤酒,210,10.5,34.1,3.5
